Car Make,Car Model,Car Trim,Car Year,Car Mileage,Car Price
Chevrolet,Camaro,LT,2018,43K mi,"$23,998*"
Dodge,Charger,Scat Pack,2021,36K mi,"$41,998*"
Chevrolet,Camaro,SS,2017,19K mi,"$35,998*"
BMW,Z4,SDrive28i,2016,16K mi,"$29,998*"
Ford,Mustang,Ecoboost,2016,74K mi,"$19,998*"
Dodge,Challenger,R/T Scat Pack,2020,18K mi,"$41,998*"
Dodge,Charger,SXT,2023,27K mi,"$23,998*"
Chevrolet,Corvette,Stingray 1LT,2024,3K mi,"$70,998*"
Chevrolet,Camaro,LS,2018,85K mi,"$18,998*"
Ford,Mustang,Ecoboost,2020,117K mi,"$18,998*"
Volkswagen,GTI,SE,2015,74K mi,"$17,998*"
Jaguar,XE,Premium,2017,53K mi,"$20,998*"
Chevrolet,Corvette,Stingray,2016,40K mi,"$36,998*"
Ford,Mustang,GT,2024,7K mi,"$43,998*"
BMW,M4,Competition,2024,4K mi,"$83,998*"
Mazda,MX-5,Miata Grand Touring,2022,24K mi,"$25,998*"
Dodge,Challenger,SXT,2020,50K mi,"$24,998*"
Ford,Mustang,GT Premium,2020,22K mi,"$38,998*"
Mazda,MX-5,Miata Sport,2019,45K mi,"$23,998*"
Dodge,Challenger,R/T Scat Pack Widebody,2022,16K mi,"$49,998*"
Mazda,MX-5,Miata RF Grand Touring,2023,19K mi,"$28,998*"
BMW,M4,,2018,61K mi,"$39,998*"
Fiat,124,Spider Classica,2017,11K mi,"$20,998*"
Dodge,Charger,SXT,2023,21K mi,"$25,998*"
Chevrolet,Corvette,Stingray 1LT,2022,30K mi,"$64,998*"
Chevrolet,Camaro,2LT,2021,26K mi,"$32,998*"
Dodge,Challenger,SXT,2019,52K mi,"$24,998*"
Chevrolet,Corvette,Stingray,2014,33K mi,"$39,998*"
Mercedes-Benz,C43,AMG,2024,5K mi,"$60,998*"
Nissan,370Z,,2020,10K mi,"$32,998*"
Ford,Mustang,Mach-E GT,2023,9K mi,"$40,998*"
Acura,TLX,,2019,55K mi,"$21,998*"
Chevrolet,Camaro,LT,2017,88K mi,"$23,998*"
Dodge,Challenger,T/A,2018,27K mi,"$30,998*"
Dodge,Challenger,R/T,2019,88K mi,"$25,998*"
